,NUMBER_OF_PASSENGER,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
33,9899,2020-01-02 10:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
34,10298,2020-01-02 11:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
35,11821,2020-01-02 12:00:00,"Istanbul,Turkey",6.3,4.4,5.4,3.1,0.8,1.7,2.7,83.2,14.81,100,16.67,rain,,0.1,42.5,26.8,84.7,1026.4,84.8,12.0,58.2,5.1,3,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
36,11789,2020-01-02 13:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
37,12482,2020-01-02 14:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
38,16622,2020-01-02 15:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
39,19315,2020-01-02 16:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
40,23418,2020-01-02 17:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
41,29779,2020-01-02 18:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
42,17568,2020-01-02 19:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
43,8704,2020-01-02 20:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
44,5756,2020-01-02 21:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
45,4865,2020-01-02 22:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
46,2382,2020-01-02 23:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
47,110,2020-01-03 00:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
48,2,2020-01-03 01:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
49,2,2020-01-03 02:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
50,468,2020-01-03 05:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
51,5594,2020-01-03 06:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
52,21671,2020-01-03 07:00:00,"Istanbul,Turkey",7.2,4.8,5.7,5.4,2.7,4.1,2.5,79.9,4.78,100,12.5,rain,,0.7,27.7,13.9,90.3,1024.3,67.3,13.4,61.0,5.2,2,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
