fusedyear,fusedmonth,fusedday,fusedhour,toplam_yolcu
2020,1,25,1,809
2020,1,25,2,445
2020,1,25,3,261
2020,1,25,4,211
2020,1,25,5,396
2020,1,25,6,2514
2020,1,25,7,5950
2020,1,25,8,9116
2020,1,25,9,7835
2020,1,25,10,7484
2020,1,25,11,9491
2020,1,25,12,13270
2020,1,25,13,16667
2020,1,25,14,17690
2020,1,25,15,17200
2020,1,25,16,18375
2020,1,25,17,21180
2020,1,25,19,18971
2020,1,25,20,11720
2020,1,25,21,7867
2020,1,25,22,8472
2020,1,25,23,5418
2020,1,26,0,2147
2020,1,26,1,1162
2020,1,26,2,652
2020,1,26,3,387
2020,1,26,4,221
2020,1,26,5,284
2020,1,26,6,1305
2020,1,26,7,2385
2020,1,26,8,3684
2020,1,26,9,5043
2020,1,26,10,5305
2020,1,26,11,7056
2020,1,26,12,10097
2020,1,26,13,12686
2020,1,26,14,13976
2020,1,26,15,13694
2020,1,26,16,13576
2020,1,26,17,14467
2020,1,26,18,15279
2020,1,26,19,12167
2020,1,26,20,8499
2020,1,26,21,6564
2020,1,26,22,5606
2020,1,26,23,3015
2020,1,27,0,117
2020,1,27,1,1
2020,1,27,3,3
2020,1,27,5,468
2020,1,27,6,5060
2020,1,27,7,17371
2020,1,27,8,21189
2020,1,27,9,12269
2020,1,27,10,9462
2020,1,27,11,10407
2020,1,27,12,12324
2020,1,27,13,13024
2020,1,27,14,13602
2020,1,27,15,13340
2020,1,27,16,16058
2020,1,27,19,17378
2020,1,27,20,8848
2020,1,27,21,5995
2020,1,27,22,4695
2020,1,27,23,2631
2020,1,28,0,92
2020,1,28,1,5
2020,1,28,2,12
2020,1,28,3,1
2020,1,28,5,413
2020,1,28,6,4924
2020,1,28,7,16952
2020,1,28,8,21848
2020,1,28,9,13563
2020,1,28,10,10412
2020,1,28,11,11002
2020,1,28,12,13009
2020,1,28,13,13912
2020,1,28,14,14085
2020,1,28,15,14185
2020,1,28,16,16417
2020,1,28,19,18258
2020,1,28,20,9103
2020,1,28,21,6543
2020,1,28,22,5214
2020,1,28,23,2969
2020,1,29,0,112
2020,1,29,1,18
2020,1,29,2,7
2020,1,29,3,4
2020,1,29,4,4
2020,1,29,5,439
2020,1,29,6,4817
2020,1,29,7,17112
2020,1,29,8,21679
2020,1,29,9,12859
2020,1,29,10,10530
2020,1,29,11,11290
2020,1,29,12,13251
2020,1,29,13,14793
2020,1,29,14,14819
2020,1,29,15,14337
2020,1,29,16,17191
2020,1,29,19,19812
2020,1,29,20,9798
2020,1,29,21,6786
2020,1,29,22,5543
2020,1,29,23,3031
2020,1,30,0,116
2020,1,30,1,4
2020,1,30,2,2
2020,1,30,4,1
2020,1,30,5,446
2020,1,30,6,4793
2020,1,30,7,16708
2020,1,30,8,21840
2020,1,30,9,12945
2020,1,30,10,10139
2020,1,30,11,10359
2020,1,30,12,12186
2020,1,30,13,12863
2020,1,30,14,13471
2020,1,30,15,13711
2020,1,30,16,15777
2020,1,30,17,22611
2020,1,30,19,17974
2020,1,30,20,10071
2020,1,30,21,6653
2020,1,30,22,5559
2020,1,30,23,3022
2020,1,31,0,154
2020,1,31,1,4
2020,1,31,2,2
2020,1,31,3,6
2020,1,31,4,8
2020,1,31,5,464
2020,1,31,6,4743
2020,1,31,7,15831
2020,1,31,8,20756
2020,1,31,9,12305
2020,1,31,10,10022
2020,1,31,11,10913
2020,1,31,12,12886
2020,1,31,13,13047
2020,1,31,14,14526
2020,1,31,15,14929
2020,1,31,16,17707
2020,1,31,19,21329
2020,1,31,20,11706
2020,1,31,21,7407
2020,1,31,22,6715
2020,1,31,23,4109
2020,2,1,0,1666
2020,2,1,1,896
2020,2,1,2,474
2020,2,1,3,244
2020,2,1,4,204
2020,2,1,5,383
2020,2,1,6,2506
2020,2,1,7,6128
2020,2,1,8,8944
2020,2,1,9,7725
2020,2,1,10,7688
2020,2,1,11,9274
2020,2,1,12,12960
2020,2,1,13,16426
2020,2,1,14,17477
2020,2,1,15,16660
2020,2,1,16,16768
2020,2,1,17,19074
2020,2,1,18,20190
2020,2,1,19,17157
2020,2,1,20,10256
2020,2,1,21,7183
2020,2,1,22,7121
2020,2,1,23,4661
2020,2,2,0,1928
2020,2,2,1,1192
2020,2,2,2,753
2020,2,2,3,387
2020,2,2,4,239
2020,2,2,5,345
2020,2,2,6,1288
2020,2,2,7,2424
2020,2,2,8,3983
2020,2,2,9,4901
2020,2,2,10,5818
