name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Istanbul,Turkey",2020-02-14,12.9,2.4,8.1,12.9,0.7,7.8,1.3,63.4,0,0,0,,,0,7.6,8.8,147.5,1021.7,34.5,13.7,90.4,7.9,4,,2020-02-14T08:00:47,2020-02-14T18:36:16,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-15,11.3,8.3,9,11.3,5.6,7.4,6.5,84.6,0.96,100,12.5,rain,,0,22.3,18.7,108.7,1020.6,88.5,11.5,81.6,7.1,4,,2020-02-15T07:59:29,2020-02-15T18:37:29,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-16,9.3,6.7,8.1,6.4,3.7,5.2,4.2,76.5,0,0,0,,,0,20.5,25.6,88.2,1029.3,64.5,13.7,136.3,11.7,5,,2020-02-16T07:58:10,2020-02-16T18:38:43,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-17,10,3.4,6.7,7.6,1.4,4.7,2.8,76.3,0,0,0,,,0,13,17.3,71,1028.3,19.8,13.8,172.2,15,6,,2020-02-17T07:56:50,2020-02-17T18:39:56,0.84,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-18,10.3,1.8,6,10.3,-0.3,4.8,3.5,84.6,0,0,0,,,0,16.6,12,161.9,1020.9,10.3,9.5,174.6,15,6,,2020-02-18T07:55:28,2020-02-18T18:41:09,0.88,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-19,10.1,4.4,7.4,10.1,4.4,6.8,5.4,87.4,0.03,100,8.33,rain,,0,11.2,12,167.8,1018.7,46.6,8.4,156.2,13.4,6,,2020-02-19T07:54:06,2020-02-19T18:42:22,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-20,7.9,7,7.4,7.6,4.2,5.6,5.8,89.3,1.99,100,4.17,rain,,0,9.4,17.5,59.4,1014.2,86.9,8.9,54,4.5,3,,2020-02-20T07:52:42,2020-02-20T18:43:34,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-21,8.1,6.5,7,5.7,2.6,3.7,4.6,84.6,10.31,100,12.5,rain,,1,22.3,26.4,75.5,1017,88.3,11.2,18.2,1.5,1,,2020-02-21T07:51:17,2020-02-21T18:44:46,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-22,8.1,5.8,6.8,4.8,2.8,3.7,2.3,73.4,0.2,100,4.17,rain,,0,20.5,24.3,80.2,1023.8,81.5,13.3,153.6,13.2,6,,2020-02-22T07:49:51,2020-02-22T18:45:58,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-23,9.2,2.5,6.2,7.7,-0.1,4.6,0.9,69,0,0,0,,,0,24.1,14.3,144,1024.7,19.3,13.8,175.9,15.1,6,,2020-02-23T07:48:24,2020-02-23T18:47:10,1,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-24,12.5,6.7,9.7,12.5,3.9,8.1,3.8,67.2,0,0,0,,,0,16.6,24.2,202.6,1015,40.4,13.4,130.2,11.3,5,,2020-02-24T07:46:57,2020-02-24T18:48:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-25,13.7,5.1,9.5,13.7,3.6,8.7,0.7,56.1,0.05,100,4.17,rain,,0,31.7,13.6,140,1018.7,7.9,13.8,192.9,16.8,7,,2020-02-25T07:45:28,2020-02-25T18:49:32,0.02,Rain,Clear conditions throughout the day with early morning rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-26,18.9,7.6,13.6,18.9,6.9,13.1,3.5,52.4,0,0,0,,,0,27.7,30.9,241.9,1008.1,21.8,13.8,185.3,16,7,,2020-02-26T07:43:58,2020-02-26T18:50:42,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-27,18.9,8,14.9,18.9,6.2,14.6,7.4,62.1,2.93,100,4.17,rain,,0,38.9,28.1,232.9,1005.4,52,12.7,115.9,10,5,,2020-02-27T07:42:28,2020-02-27T18:51:53,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-28,12.1,6.6,9.2,12.1,6.2,8.7,5,75.5,6.43,100,8.33,rain,,0.1,50,15,184.7,1011.1,72.9,13.7,108.7,9.3,4,,2020-02-28T07:40:57,2020-02-28T18:53:03,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-02-29,10,6.5,8,10,2.6,5.4,5.6,84.7,8.82,100,8.33,rain,,0.7,27.7,27.1,123.3,1012.2,80.6,12,128.5,11.3,6,,2020-02-29T07:39:25,2020-02-29T18:54:12,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-03-01,11.6,2.9,7.2,11.6,1.3,6.9,3.7,79.7,0.14,100,4.17,rain,,0,14.8,10,195.3,1019.9,14.5,12.3,192.7,16.6,7,,2020-03-01T07:37:52,2020-03-01T18:55:22,0.18,Rain,Clear conditions throughout the day with early morning rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
